nodes	zero	one	two
Twi_2_4h-Mef2_2_4h	0.310666666666667	0.185333333333333	0.504
Twi_2_4h-Mef2_4_6h	0.0366666666666667	0.0323333333333333	0.931
Twi_2_4h-Mef2_6_8h	0.083	0.103333333333333	0.813666666666667
Twi_2_4h-Mef2_8_10h	0.054	0.110666666666667	0.835333333333333
Twi_2_4h-Mef2_10_12h	0.0946666666666667	0.240666666666667	0.664666666666667
Twi_4_6h-Twi_6_8h	0.923666666666667	0.0763333333333333	0
Twi_4_6h-Bap_6_8h	0.0356666666666667	0.0343333333333333	0.93
Twi_4_6h-Mef2_2_4h	0.0553333333333333	0.0173333333333333	0.927333333333333
Twi_4_6h-Mef2_4_6h	0.88	0.118666666666667	0.00133333333333333
Twi_4_6h-Mef2_6_8h	0.0886666666666667	0.042	0.869333333333333
Twi_4_6h-Mef2_8_10h	0.088	0.121333333333333	0.790666666666667
Twi_4_6h-Mef2_10_12h	0.0663333333333333	0.117	0.816666666666667
Twi_6_8h-Bap_6_8h	0.0326666666666667	0.0473333333333333	0.92
Twi_6_8h-Mef2_2_4h	0.04	0.038	0.922
Twi_6_8h-Mef2_4_6h	0.118	0.333	0.549
Twi_6_8h-Mef2_6_8h	0.203333333333333	0.796666666666667	0
Twi_6_8h-Mef2_8_10h	0.0256666666666667	0.0646666666666667	0.909666666666667
Twi_6_8h-Mef2_10_12h	0.0326666666666667	0.0566666666666667	0.910666666666667
Bap_6_8h-Mef2_2_4h	0.0666666666666667	0.0323333333333333	0.901
Bap_6_8h-Mef2_4_6h	0.0343333333333333	0.0426666666666667	0.923
Bap_6_8h-Mef2_6_8h	0.072	0.0893333333333333	0.838666666666667
Bap_6_8h-Mef2_8_10h	0.121	0.226333333333333	0.652666666666667
Bap_6_8h-Mef2_10_12h	0.0463333333333333	0.189333333333333	0.764333333333333
Mef2_2_4h-Mef2_4_6h	0.316	0.667333333333333	0.0166666666666667
Mef2_2_4h-Mef2_6_8h	0.133666666666667	0.506	0.360333333333333
Mef2_2_4h-Mef2_8_10h	0.162	0.429	0.409
Mef2_2_4h-Mef2_10_12h	0.249	0.449333333333333	0.301666666666667
Mef2_4_6h-Mef2_6_8h	0.593333333333333	0.406666666666667	0
Mef2_4_6h-Mef2_8_10h	0.114666666666667	0.865666666666667	0.0196666666666667
Mef2_4_6h-Mef2_10_12h	0.031	0.0796666666666667	0.889333333333333
Mef2_6_8h-Mef2_8_10h	0.271333333333333	0.728666666666667	0
Mef2_6_8h-Mef2_10_12h	0.043	0.105666666666667	0.851333333333333
Mef2_8_10h-Mef2_10_12h	0.370333333333333	0.629666666666667	0
