nodes	zero	one	two
Bin_6_8h-Twi_6_8h	0.0373333333333333	0.0333333333333333	0.929333333333333
Bin_6_8h-Bap_6_8h	0.674333333333333	0.325666666666667	0
Bin_6_8h-Mef2_2_4h	0.0986666666666667	0.0383333333333333	0.863
Bin_6_8h-Mef2_4_6h	0.103	0.0446666666666667	0.852333333333333
Bin_6_8h-Mef2_6_8h	0.032	0.0483333333333333	0.919666666666667
Bin_6_8h-Mef2_8_10h	0.293666666666667	0.0943333333333333	0.612
Bin_6_8h-Mef2_10_12h	0.247666666666667	0.0836666666666667	0.668666666666667
Bin_6_8h-Meso	0.135666666666667	0	0.864333333333333
Bin_6_8h-VM	0.635	0	0.365
Bin_6_8h-SM	0.109	0	0.891
Bin_6_8h-CM	0.118666666666667	0	0.881333333333333
Bin_6_8h-Meso_SM	0.108666666666667	0	0.891333333333333
Bin_6_8h-VM_SM	0.278333333333333	0	0.721666666666667
Bin_8_10h-Bin_10_12h	0.394333333333333	0.605666666666667	0
Bin_8_10h-Twi_2_4h	0.0416666666666667	0.052	0.906333333333333
Bin_8_10h-Twi_4_6h	0.0383333333333333	0.178333333333333	0.783333333333333
Bin_8_10h-Twi_6_8h	0.05	0.049	0.901
Bin_8_10h-Bap_6_8h	0.0586666666666667	0.0813333333333333	0.86
Bin_8_10h-Mef2_2_4h	0.0466666666666667	0.0703333333333333	0.883
Bin_8_10h-Mef2_4_6h	0.0856666666666667	0.157	0.757333333333333
Bin_8_10h-Mef2_6_8h	0.0643333333333333	0.115	0.820666666666667
Bin_8_10h-Mef2_8_10h	0.0756666666666667	0.054	0.870333333333333
Bin_8_10h-Mef2_10_12h	0.0466666666666667	0.0426666666666667	0.910666666666667
Bin_8_10h-Meso	0.228333333333333	0	0.771666666666667
Bin_8_10h-VM	0.264	0	0.736
Bin_8_10h-SM	0.100666666666667	0	0.899333333333333
Bin_8_10h-CM	0.131333333333333	0	0.868666666666667
Bin_8_10h-Meso_SM	0.150333333333333	0	0.849666666666667
Bin_8_10h-VM_SM	0.124666666666667	0	0.875333333333333
Bin_10_12h-Twi_2_4h	0.183666666666667	0.242	0.574333333333333
Bin_10_12h-Twi_4_6h	0.0516666666666667	0.130666666666667	0.817666666666667
Bin_10_12h-Twi_6_8h	0.067	0.0373333333333333	0.895666666666667
