nodes	forward	backward	absence
Bap_6_8h-VM	0.320666666666667	0	0.679333333333333
Bap_6_8h-SM	0.121333333333333	0	0.878666666666667
Bap_6_8h-CM	0.105666666666667	0	0.894333333333333
Bap_6_8h-Meso_SM	0.55	0	0.45
Bap_6_8h-VM_SM	0.114333333333333	0	0.885666666666667
Mef2_2_4h-Mef2_4_6h	0.074	0.924333333333333	0.00166666666666667
Mef2_2_4h-Mef2_6_8h	0.067	0.491333333333333	0.441666666666667
Mef2_2_4h-Mef2_8_10h	0.0783333333333333	0.375333333333333	0.546333333333333
Mef2_2_4h-Mef2_10_12h	0.0973333333333333	0.520333333333333	0.382333333333333
Mef2_2_4h-Meso	0.152	0	0.848
Mef2_2_4h-VM	0.125	0	0.875
Mef2_2_4h-SM	0.116333333333333	0	0.883666666666667
Mef2_2_4h-CM	0.263	0	0.737
Mef2_2_4h-Meso_SM	0.498333333333333	0	0.501666666666667
Mef2_2_4h-VM_SM	0.267	0	0.733
Mef2_4_6h-Mef2_6_8h	0.425	0.575	0
Mef2_4_6h-Mef2_8_10h	0.12	0.860333333333334	0.0196666666666667
Mef2_4_6h-Mef2_10_12h	0.032	0.075	0.893
Mef2_4_6h-Meso	0.136	0	0.864
Mef2_4_6h-VM	0.121	0	0.879
Mef2_4_6h-SM	0.125333333333333	0	0.874666666666667
Mef2_4_6h-CM	0.130333333333333	0	0.869666666666667
Mef2_4_6h-Meso_SM	0.409	0	0.591
Mef2_4_6h-VM_SM	0.124333333333333	0	0.875666666666667
Mef2_6_8h-Mef2_8_10h	0.348666666666667	0.651333333333333	0
Mef2_6_8h-Mef2_10_12h	0.08	0.0873333333333333	0.832666666666667
Mef2_6_8h-Meso	0.227333333333333	0	0.772666666666667
Mef2_6_8h-VM	0.151	0	0.849
Mef2_6_8h-SM	0.561666666666667	0	0.438333333333333
Mef2_6_8h-CM	0.110666666666667	0	0.889333333333333
Mef2_6_8h-Meso_SM	0.164666666666667	0	0.835333333333333
Mef2_6_8h-VM_SM	0.187333333333333	0	0.812666666666667
Mef2_8_10h-Mef2_10_12h	0.559333333333333	0.440666666666667	0
Mef2_8_10h-Meso	0.355	0	0.645
Mef2_8_10h-VM	0.212666666666667	0	0.787333333333333
Mef2_8_10h-SM	0.121666666666667	0	0.878333333333333
Mef2_8_10h-CM	0.101	0	0.899
Mef2_8_10h-Meso_SM	0.135666666666667	0	0.864333333333333
Mef2_8_10h-VM_SM	0.392333333333333	0	0.607666666666667
Mef2_10_12h-Meso	0.206333333333333	0	0.793666666666667
Mef2_10_12h-VM	0.260333333333333	0	0.739666666666667
Mef2_10_12h-SM	0.424	0	0.576
Mef2_10_12h-CM	0.136666666666667	0	0.863333333333333
Mef2_10_12h-Meso_SM	0.113333333333333	0	0.886666666666667
Mef2_10_12h-VM_SM	0.991666666666667	0	0.00833333333333333
